,name,latitude,longitude,city
244,Sover-Loc. Mezauno,46.231132,11.318871,Trentino
245,Piscine,46.239915,11.324715,Trentino
246,Piscine-Loc. Grava,46.246753,11.332531,Trentino
247,Pradel,46.260329,11.355415,Trentino
248,Loc. Ronco,46.260434,11.384831,Trentino
249,Loc. Melae,46.263129,11.397785,Trentino
250,Stramentizzo-Bivio,46.26641,11.406553,Trentino
251,Pradel,46.262399,11.355414,Trentino
252,Scancio di Segonzano-Snack Bar,46.191608,11.258888,Trentino
253,Lases Distributore Esso,46.150439,11.222691,Trentino
254,Lases-Pesa,46.14374,11.218679,Trentino
255,Pergine V. V.Le Venezia,46.061249,11.23703,Trentino
256,Pergine-Via Baratieri,46.063948,11.242774,Trentino
257,Pergine V. Distr. Tamoil,46.065171,11.247426,Trentino
258,Zivignago,46.067277,11.252917,Trentino
259,Zivignago Cons.S.Orsola,46.070154,11.257157,Trentino
260,Canezza-Maso Sleifer,46.076277,11.269734,Trentino
261,Canezza,46.076975,11.274488,Trentino
262,Canezza-Dif. Al Sole,46.08015,11.275942,Trentino
263,Canezza Maso Dràzeri,46.084558,11.277665,Trentino
264,Viarago-Bivio,46.086387,11.277782,Trentino
265,Mala-Loc.Agnoletti,46.088687,11.279789,Trentino
266,Mala,46.090561,11.281509,Trentino
267,S.Orsola-Loc.Mantovani,46.095744,11.289212,Trentino
268,Stefani,46.098591,11.294201,Trentino
269,S.Orsola-Loc.Bertoldi,46.102574,11.298238,Trentino
270,S.Orsola,46.107694,11.301876,Trentino
271,S.Orsola-Loc.Donadi,46.111675,11.306192,Trentino
272,Bagni Terme di S.Orsola,46.113765,11.307884,Trentino
273,S.Orsola-Loc. Doss Martin,46.114671,11.307595,Trentino
274,Marcheli-Bivio Borti E Cont,46.117555,11.310062,Trentino
275,Fontanari-Maso Marcheli,46.119435,11.313233,Trentino
276,Fontanari,46.12117,11.316451,Trentino
277,Palù Del F.-Redebus,46.130239,11.34091,Trentino
278,Palù Del F.-Loc. Sigismondi,46.129806,11.34449,Trentino
279,Palù Del F.-Hotel Lagorai,46.129513,11.348871,Trentino
280,Palu' Del Fersina,46.129732,11.352863,Trentino
281,S.Orsola,46.107832,11.302001,Trentino
282,Moena-Hotel Campagnola,46.374005,11.665002,Trentino
283,Alpe Lusia,46.367806,11.68605,Trentino
284,Fango,46.368797,11.728391,Trentino
285,Fango-Alb. Negritella,46.374788,11.751959,Trentino
286,P.So S.Pellegrino-Segg.Cost.,46.378746,11.784385,Trentino
287,Passo S.Pellegrino-Ht.Arnika,46.378141,11.789624,Trentino
288,P.So S.Pellegrino-Chiesetta,46.378324,11.793361,Trentino
289,P.So S.Pellegrino-Fun.C.Mar.,46.379111,11.802043,Trentino
290,P.So S.Pellegrino-B. V.Freda,46.378811,11.813499,Trentino
291,Zingari,46.376211,11.820585,Trentino
292,Falcade Alto,46.355345,11.858403,Trentino
293,Falcade-Chiesa,46.354317,11.86169,Trentino
294,Falcade-Via Serafini,46.355063,11.866753,Trentino
295,Falcade,46.358375,11.87286,Trentino
296,Trento Off.Conotter,46.075975,11.101119,Trentino
297,Trento-Via Brescia 4,46.070742,11.113498,Trentino
298,Montevideo,46.08037,11.098519,Trentino
299,Cadine,46.088572,11.064983,Trentino
300,Terlago Bivio,46.091545,11.055123,Trentino
301,Vigolo Baselga-Paese,46.081449,11.044962,Trentino
302,Vigolo Baselga-Pallonc.Rosso,46.077626,11.032471,Trentino
303,Vezzano-Bivio Val di Cavedine,46.071568,10.994702,Trentino
304,Padergnone-Loc.Barbazan,46.060257,10.990201,Trentino
305,Padergnone,46.062089,10.98885,Trentino
306,Padergnone-Case Enel,46.059535,10.984616,Trentino
307,Due Laghi-Hotel Miralaghi,46.058851,10.979179,Trentino
308,Castel Toblino,46.056347,10.965435,Trentino
309,Sarche-Maso Caffaro,46.04581,10.945322,Trentino
310,Sarche-Bar Miravalle,46.04498,10.943845,Trentino
311,Comano Terme,46.041193,10.881908,Trentino
312,Ponte Arche Autostaz.,46.035587,10.873615,Trentino
313,Ponte Arche-Bel Sit,46.036219,10.864706,Trentino
314,Ponte Ragoli-Sp34 Dir. Ragoli,46.050483,10.785335,Trentino
315,Saone,46.042568,10.767067,Trentino
316,"Zuclo Ss237 ""Superm. Lidl""",46.040576,10.749698,Trentino
317,Ponte Ragoli-Ss.237-Dir. Saone,46.049763,10.785623,Trentino
318,Ragoli-Pez,46.051078,10.781304,Trentino
319,Ragoli,46.050948,10.776267,Trentino
320,Preore,46.046153,10.758108,Trentino
321,Preore-Loc.Signor,46.04462,10.752411,Trentino
322,Zuclo Bivio-Segheria Tonello,46.038712,10.744444,Trentino
323,Bolbeno-Bivio,46.033969,10.735272,Trentino
324,Tione-Bar Arnò,46.034863,10.732479,Trentino
325,Tione Autostazione,46.033131,10.726113,Trentino
326,Tione-Via Circonvallaz.,46.040221,10.727471,Trentino
327,Verdesina Bivio,46.056996,10.716267,Trentino
328,Villa Rendena,46.062248,10.712321,Trentino
329,Iavrè,46.068035,10.711736,Trentino
330,Iavrè-Artigianato,46.070886,10.714294,Trentino
331,Darè,46.075922,10.717566,Trentino
332,Vigo Rendena,46.078732,10.718955,Trentino
333,Vigo Rendena-Biv.Val S.Val.,46.082036,10.722141,Trentino
334,Pelugo,46.087077,10.722712,Trentino
335,Pelugo-Artigianato,46.087761,10.725074,Trentino
336,Borzago,46.098856,10.734735,Trentino
337,Spiazzo Rendena,46.103132,10.73769,Trentino
338,Mortaso,46.106645,10.739858,Trentino
339,Spiazzo Rend.-Concess.Cozzio,46.110256,10.747425,Trentino
340,Strembo-Bivio Bocenago,46.118282,10.752804,Trentino
341,Strembo,46.120329,10.751976,Trentino
342,Caderzone,46.128702,10.756513,Trentino
343,Caderzone-Off. Alfa Romeo,46.131331,10.764028,Trentino
344,Giustino,46.146116,10.768268,Trentino
345,Giustino-Hotell Royal,46.152048,10.76649,Trentino
346,Pinzolo,46.157163,10.765985,Trentino
347,Pinzolo-Funivie,46.16344,10.765456,Trentino
348,Carisolo,46.169319,10.764146,Trentino
349,Carisolo-Pinemonte Basso,46.187676,10.772542,Trentino
350,S.Antonio di M.-Camping Faè,46.185863,10.779171,Trentino
351,S.Antonio di M.-Biv.V.Nambr.,46.188184,10.777522,Trentino
352,S.Antonio di M. Punto Info Pab,46.19011,10.786137,Trentino
353,S.Antonio di Mavignola,46.191315,10.789131,Trentino
354,S.Antonio di M.-Rio Fornas,46.193845,10.795952,Trentino
355,S.Antonio di M.-Rio V.Rastrel,46.195038,10.795641,Trentino
356,S.Antonio di M.-Palù,46.197237,10.797152,Trentino
357,S.Antonio di M.-Mumble Fratè,46.200598,10.804009,Trentino
358,Madonna di C.-Loc.Fontanella,46.208855,10.820243,Trentino
359,Madonna di C.-H. Lorenzetti,46.214136,10.822362,Trentino
360,Madonna di C.-Hotel Betulla,46.220871,10.822454,Trentino
361,M.Campiglio Pietra Gr.,46.224519,10.825377,Trentino
362,Madonna di C.-Laghetto,46.226018,10.827865,Trentino
363,M.Campiglio Des Alpes,46.230343,10.827882,Trentino
364,M.Campiglio Pradalago,46.23403,10.826075,Trentino
365,Madonna di C.-Hotel Dahu,46.234408,10.823826,Trentino
366,M.Campiglio Brenta Alta,46.231941,10.826142,Trentino
367,Madonna di C.-Biv. V.Nambino,46.235465,10.826424,Trentino
368,Funivia Grostè,46.236312,10.835359,Trentino
369,Campo Carlomagno,46.242978,10.840028,Trentino
370,Campo Carlomagno,46.243224,10.840249,Trentino
371,Funivia Grostè,46.236409,10.83546,Trentino
372,S.Massenza,46.065484,10.980459,Trentino
373,Madonna di C.-Loc.Fontanella,46.208587,10.819858,Trentino
374,S.Antonio di M.-Mumble Fratè,46.200491,10.803661,Trentino
375,S.Antonio di Mavignola,46.191345,10.788899,Trentino
376,S.Antonio di M. Punto Info Pab,46.190029,10.78559,Trentino
377,S.Antonio di M.-Biv.V.Nambr.,46.188255,10.778146,Trentino
378,S.Antonio di M.-Camping Faè,46.185658,10.778451,Trentino
379,Carisolo,46.169098,10.763888,Trentino
380,Pinzolo-Funivie,46.163722,10.76527,Trentino
381,Giustino-Hotel Royal,46.153492,10.766251,Trentino
382,Strembo-Bivio Bocenago,46.118148,10.752735,Trentino
383,Spiazzo Rend.-Conc.Cozzio,46.110693,10.747685,Trentino
384,Mortaso,46.106523,10.739582,Trentino
385,Spiazzo Rendena,46.102587,10.736819,Trentino
386,Borzago,46.098484,10.734349,Trentino
387,Pelugo-Artigianato,46.088019,10.725276,Trentino
388,Vigo Rendena-Biv.Val S.Val.,46.082367,10.722319,Trentino
389,Vigo Rendena,46.0789,10.719151,Trentino
390,Darè,46.075878,10.717462,Trentino
391,Iavrè,46.06884,10.711463,Trentino
392,Verdesina Bivio,46.056765,10.716636,Trentino
393,Tione-Via Circonvallaz.,46.040013,10.727516,Trentino
394,Terlago,46.097757,11.044737,Trentino
395,Covelo Bivio,46.098388,11.022714,Trentino
396,Covelo-Via N.Pooli,46.096643,11.018071,Trentino
397,Covelo,46.09829,11.019002,Trentino
398,Maso Ariol,46.106105,11.026539,Trentino
399,Monte Terlago-Bivio,46.108224,11.035937,Trentino
400,Monte Terlago-P.Zza,46.109656,11.037891,Trentino
401,Monte Terlago Vallene,46.108947,11.042847,Trentino
402,Monte Terlago-H. 2 Laghi,46.112079,11.046116,Trentino
403,Cadine,46.088856,11.06451,Trentino
404,Trento Maso Pedrotti,46.07556,11.09822,Trentino
405,Trento Loc. S.Antonio,46.069885,11.100436,Trentino
406,Sardagna-Maso Scala,46.069871,11.097745,Trentino
407,Sardagna,46.064849,11.097287,Trentino
408,Sardagna-Tornante Sp 85,46.071419,11.08698,Trentino
409,Candriai,46.065418,11.083405,Trentino
410,Candriai-Erica,46.063071,11.082257,Trentino
411,Centro A.Degasperi,46.05963,11.077753,Trentino
412,Vaneze-Bivio Prà Della Fava,46.056969,11.076345,Trentino
413,Bolbeno-Bivio,46.034111,10.735531,Trentino
414,Zuclo Bivio-Segh. Tonello,46.038509,10.744192,Trentino
415,Zuclo Morace Antichità R,46.04191,10.753683,Trentino
416,Preore-Loc. Signor,46.04491,10.752912,Trentino
417,Ragoli,46.050929,10.77637,Trentino
418,Ragoli-Pez,46.050939,10.780059,Trentino
419,Zuclo Morace Antichità,46.041983,10.753582,Trentino
420,Saone,46.042536,10.766226,Trentino
421,Ponte Ragoli-Ss.237 Dir.Sarche,46.050263,10.786767,Trentino
422,Ponte Arche-Bel Sit,46.036139,10.864626,Trentino
423,Comano Terme,46.041141,10.882863,Trentino
424,Padergnone,46.061989,10.989462,Trentino
425,Vigolo Baselga-Ss45,46.080844,11.043568,Trentino
426,Tione-Bar Arno',46.034256,10.733255,Trentino
427,Sarche-Cassa Rurale,46.046415,10.952064,Trentino
428,Sarche-Centro Comm.,46.046439,10.952246,Trentino
429,Vaneze,46.051918,11.071935,Trentino
430,Vaneze-Sp.85,46.051411,11.069388,Trentino
431,Vaneze-Norge,46.049242,11.066657,Trentino
432,Vaneze-Baita Montesel,46.045839,11.065181,Trentino
433,Vaneze-Ex Snack Bar,46.044388,11.060835,Trentino
434,Viote,46.021403,11.04117,Trentino
435,Vason,46.039194,11.058393,Trentino
436,Vaneze-Baita Montesel,46.046329,11.065046,Trentino
437,Candriai,46.065443,11.083975,Trentino
438,Trento Loc.Conotter,46.076761,11.099985,Trentino
439,Zuclo,46.034159,10.747299,Trentino
440,Bolbeno,46.032566,10.737549,Trentino
441,Coltura,46.05827,10.793848,Trentino
442,Preore Bivio Montagne,46.046118,10.756554,Trentino
443,Montagne Cort,46.050722,10.753625,Trentino
444,Montagne Larzana,46.058444,10.751302,Trentino
445,Montagne Binio,46.065608,10.755138,Trentino
446,Zuclo,46.034086,10.747093,Trentino
447,Pinzolo,46.157195,10.764398,Trentino
448,Fraveggio Bivio,46.078617,10.993862,Trentino
449,Lon,46.084137,10.992651,Trentino
450,Ciago,46.089243,11.004839,Trentino
451,Margone Bivio,46.067428,10.97374,Trentino
452,Ranzo,46.06411,10.942538,Trentino
453,Margone,46.068219,10.963861,Trentino
454,Ciago-Sp. 18 Civ.1,46.089161,11.008005,Trentino
455,Margone Bivio,46.06794,10.97381,Trentino
456,Lon-Rist. Fior di Roccia,46.084858,10.991603,Trentino
457,Borgo Valsugana-C.Intermodale,46.052462,11.463491,Trentino
458,Borgo V. Ospedale,46.056442,11.464237,Trentino
459,Borgo Vals. Valli,46.055485,11.469818,Trentino
460,Castelnuovo-Malerba,46.053808,11.481141,Trentino
461,Castelnuovo,46.052199,11.494275,Trentino
462,Strigno-Staz. Fs,46.051476,11.514732,Trentino
463,Agnedo-Incrocio,46.051002,11.525005,Trentino
464,Agnedo,46.052518,11.528678,Trentino
465,Agnedo-Via Per Ospedaletto,46.048289,11.531298,Trentino
466,Agnedo-Via Per Ospedaletto 8,46.046838,11.542283,Trentino
467,Ospedaletto,46.044853,11.550779,Trentino
468,Ospedaletto-Staz. Fs,46.041592,11.548685,Trentino
469,Ospedaletto Loc. Barricata,46.036357,11.561027,Trentino
470,Ospedaletto-Via Pradenella,46.033872,11.573065,Trentino
471,Tollo,46.028366,11.587733,Trentino
472,Grigno,46.015039,11.635232,Trentino
473,Grigno-Segheria,46.015221,11.636693,Trentino
474,Palù di Grigno,46.007303,11.65486,Trentino
475,Serafini,46.004041,11.6604,Trentino
476,Belvederi di Grigno,46.001083,11.665282,Trentino
477,Tezze-Via Masetto Vecchio 16,45.993793,11.670268,Trentino
478,Tezze,45.991217,11.671729,Trentino
479,Martincelli,45.977984,11.6808,Trentino
480,Primolano-Alb.Giardino,45.965205,11.707056,Trentino
481,Ospedaletto,46.044689,11.55096,Trentino
482,Canezza Bivio,46.076786,11.275859,Trentino
483,Canezza Loc. Molini,46.076819,11.28274,Trentino
484,Canezza Loc. Pinterhof,46.078875,11.28344,Trentino
485,Frassilongo-Maso Pizzi,46.084011,11.290371,Trentino
486,Frassilongo-Maso Molinari,46.084563,11.291105,Trentino
487,Levico Terme Autostazione,46.009133,11.301235,Trentino
488,Levico T. Via Avancini,46.008714,11.308624,Trentino
489,Barco,46.004585,11.335615,Trentino
490,Levico T. Via Rovigo,46.009119,11.308641,Trentino
491,Regnana Biv.-Dopo A.Costalta,46.159985,11.300167,Trentino
492,Regnana-Via Redebus 9,46.156252,11.308979,Trentino
493,Regnana,46.154105,11.309898,Trentino
