name,latitude,longitude,city,id
Fornace Bivio,46.119113,11.216113,Trentino,bus_stop221
Fornace,46.118059,11.208109,Trentino,bus_stop222
Fornace-Via Dei Pradolini 4,46.120276,11.208418,Trentino,bus_stop223
S.Stefano,46.128532,11.212036,Trentino,bus_stop224
Fornace-Maso Donati,46.12044,11.216452,Trentino,bus_stop225
Lases,46.143537,11.21887,Trentino,bus_stop226
Albiano Via Roma Civ.35,46.143815,11.198962,Trentino,bus_stop227
Albiano,46.144616,11.193775,Trentino,bus_stop228
Albiano Via S.Antonio 54,46.146255,11.190461,Trentino,bus_stop229
Albiano Via S.Antonio 90,46.148465,11.187402,Trentino,bus_stop230
Lases-Civ. 30,46.144612,11.219167,Trentino,bus_stop231
Lases-Loc. Ronc Del Mela,46.149543,11.221567,Trentino,bus_stop232
Lona-Via Provinciale,46.156074,11.230499,Trentino,bus_stop233
Lona,46.160391,11.234801,Trentino,bus_stop234
Lona-Loc. Piazzole,46.162898,11.24096,Trentino,bus_stop235
Sevignano,46.170788,11.247115,Trentino,bus_stop236
Piazzo di Segonzano Bivio,46.180042,11.257961,Trentino,bus_stop237
Scancio di Segonzano,46.187469,11.258369,Trentino,bus_stop238
Scancio di Segonzano-Snack Bar,46.191891,11.25959,Trentino,bus_stop239
Scancio di Segonzano Mad.Aiuto,46.196167,11.258609,Trentino,bus_stop240
Gaggio/Gresta Bivio,46.207793,11.286814,Trentino,bus_stop241
Valcava Bivio,46.217869,11.305171,Trentino,bus_stop242
Sover-Bar Vittoria,46.221405,11.314759,Trentino,bus_stop243
Sover-Loc. Mezauno,46.231132,11.318871,Trentino,bus_stop244
Piscine,46.239915,11.324715,Trentino,bus_stop245
Piscine-Loc. Grava,46.246753,11.332531,Trentino,bus_stop246
Pradel,46.260329,11.355415,Trentino,bus_stop247
Loc. Ronco,46.260434,11.384831,Trentino,bus_stop248
Loc. Melae,46.263129,11.397785,Trentino,bus_stop249
Stramentizzo-Bivio,46.26641,11.406553,Trentino,bus_stop250
Pradel,46.262399,11.355414,Trentino,bus_stop251
Scancio di Segonzano-Snack Bar,46.191608,11.258888,Trentino,bus_stop252
Lases Distributore Esso,46.150439,11.222691,Trentino,bus_stop253
Lases-Pesa,46.14374,11.218679,Trentino,bus_stop254
Pergine V. V.Le Venezia,46.061249,11.23703,Trentino,bus_stop255
Pergine-Via Baratieri,46.063948,11.242774,Trentino,bus_stop256
Pergine V. Distr. Tamoil,46.065171,11.247426,Trentino,bus_stop257
Zivignago,46.067277,11.252917,Trentino,bus_stop258
Zivignago Cons.S.Orsola,46.070154,11.257157,Trentino,bus_stop259
Canezza-Maso Sleifer,46.076277,11.269734,Trentino,bus_stop260
Canezza,46.076975,11.274488,Trentino,bus_stop261
Canezza-Dif. Al Sole,46.08015,11.275942,Trentino,bus_stop262
