name,address,city,latitude,longitude,id
 Municipio,via Biasi,Trento,46.19264823156244,11.133899091193692,bike_station77
 Mach,via Biasi / Fondazione Mach,Trento,46.1912808553082,11.135063177185971,bike_station78
 Nave San Rocco,via IV Novembre,Trento,46.16675077351709,11.107102632522585,bike_station79
 Zambana,via XXV Novembre,Trento,46.15178023019811,11.096625924110413,bike_station80
 Grazioli,piazza Grazioli,Trento,46.139764436118334,11.11141562461853,bike_station81
 Pressano,piazza della Croce,Trento,46.153549114165465,11.106646656990051,bike_station82
 Stazione F.S.,via Stazione,Trento,46.14813451479769,11.096781492233278,bike_station83
 Stazione TN-Malè,via Nazionale,Trento,46.140236494841126,11.106351613998411,bike_station84
 Aldeno,via Damiano Chiesa,Trento,45.97679680939393,11.09124541282654,bike_station85
 Besenello,via De Gasperi / via Vanzetti,Trento,45.94285042378801,11.109902858734133,bike_station86
 Calliano,via De Gasperi / via Valentini,Trento,45.93517296568616,11.094120740890505,bike_station87
 Nomi,via Roma,Trento,45.92874442202204,11.072502136230469,bike_station88
 Stazione F.S.,piazzale Orsi / Ist. G. Veronesi,Trento,45.89130005189873,11.03480100631714,bike_station89
 Ospedale,corso Verona / parcheggio ospedale,Trento,45.88217401222192,11.04006350040436,bike_station90
 Municipio,via Calcinari,Trento,45.88700233701336,11.044102907180786,bike_station91
 Mart,via Bettini / museo Mart,Trento,45.89392108399568,11.044027805328373,bike_station92
 Zona Industriale,via Caproni / park Laghiol-LuxotticA,Trento,45.86622598315121,11.015489101409912,bike_station93
 Paoli,via Manzoni / via Paoli,Trento,45.891714496830886,11.039929389953617,bike_station94
 Marco,via 2 Novembre / via Alveo - scuola,Trento,45.84137230046983,11.008247137069702,bike_station95
 Lizzana,piazza Guella / via Montello,Trento,45.86746572741939,11.031937597273346,bike_station96
 Sacco,via Vittoria / via Unione,Trento,45.88473655602933,11.023138757238131,bike_station97
 Noriglio,via Noriglio / ex scuola D. Chiesa,Trento,45.88368474683392,11.070397493293102,bike_station98
 Brione,via Perosi / via Puccini,Trento,45.90415926672284,11.04371964990823,bike_station99
 Rosmini,piazza Rosmini,Trento,45.89094658929088,11.043007971667093,bike_station100
 Quercia,via Palestrina 3,Trento,45.90013008440864,11.037017111949822,bike_station101
 Orvea,via Del Garda / via dell'Industria,Trento,45.87198655740324,11.020448209402966,bike_station102
 Stazione Mori,strada Provinciale 23,Trento,45.861125632734606,11.002151959111869,bike_station103
 Balista,via Antonio Balista,Trento,45.89614874211957,11.030445106584988,bike_station104
 Piscina,via Udine / zona est parcheggio,Trento,45.88448178574327,11.033685347067877,bike_station105
 Baldresca,via della Roggia,Trento,45.88053460157242,11.028776764869692,bike_station106
 Follone,piazza Achille Leoni,Trento,45.88894773828992,11.039403676986696,bike_station107
 Cimitero,via Parteli,Trento,45.8966643647806,11.037163734508797,bike_station108
 Polo Meccatronica,via Fortunato Zeni,Trento,45.89121790929269,11.032655239105226,bike_station109
 Lizzanella,piazza S. Antonio,Trento,45.87547789137215,11.032939553260803,bike_station110
 Cartiera,via Cartiera / uffici comunali,Trento,45.88633393965923,11.055679321289064,bike_station111
 Ex Marangoni,via Benacense,Trento,45.87380650063865,11.029851321006005,bike_station112
 Volano,via Santa Maria,Trento,45.91706816204346,11.06046438217163,bike_station113
 Pomarolo,via Maggiore Adami,Trento,45.92807279583084,11.042761802673342,bike_station114
 Villa Lagarina,piazzetta Scrinzi,Trento,45.91590002767766,11.03129804134369,bike_station115
 Piazzo,via Giardini / via Oriola,Trento,45.92213974462065,11.03357791900635,bike_station116
 Nogaredo,via delle Zuccate / via San Biagio,Trento,45.911891609710565,11.024941205978395,bike_station117
 Isera,piazza San Vincenzo,Trento,45.88531079070144,11.009652614593506,bike_station118
 Cornalè,via Cornalè,Trento,45.88170348017418,11.010982990264894,bike_station119
 Mori,piazza Cal di Ponte,Trento,45.85205940010957,10.97732126712799,bike_station120
